order_id,order_date,customer_id,customer_name,customer_email,customer_address,customer_city,customer_state,customer_zip,product_id,product_name,product_description,product_price,product_category,quantity,total_amount
1000,2025-07-19 14:53:58.994171,CUST003,Carol White,carol@email.com,789 Pine Rd,Chicago,IL,60601,PROD001,Laptop,High-performance laptop,999.99,Electronics,3,2999.9700000000003
1001,2025-07-30 14:53:58.994192,CUST003,Carol White,carol@email.com,789 Pine Rd,Chicago,IL,60601,PROD003,Notebook,Spiral notebook,4.99,Stationery,4,19.96
1002,2025-07-15 14:53:58.994199,CUST001,Alice Johnson,alice@email.com,123 Main St,New York,NY,10001,PROD001,Laptop,High-performance laptop,999.99,Electronics,5,4999.95
1003,2025-07-29 14:53:58.994205,CUST002,Bob Smith,bob@email.com,456 Oak Ave,Los Angeles,CA,90001,PROD002,Mouse,Wireless mouse,29.99,Electronics,3,89.97
1004,2025-07-27 14:53:58.994210,CUST002,Bob Smith,bob@email.com,456 Oak Ave,Los Angeles,CA,90001,PROD003,Notebook,Spiral notebook,4.99,Stationery,1,4.99
1005,2025-07-29 14:53:58.994215,CUST002,Bob Smith,bob@email.com,456 Oak Ave,Los Angeles,CA,90001,PROD001,Laptop,High-performance laptop,999.99,Electronics,1,999.99
1006,2025-07-19 14:53:58.994220,CUST002,Bob Smith,bob@email.com,456 Oak Ave,Los Angeles,CA,90001,PROD003,Notebook,Spiral notebook,4.99,Stationery,3,14.97
1007,2025-08-01 14:53:58.994225,CUST003,Carol White,carol@email.com,789 Pine Rd,Chicago,IL,60601,PROD003,Notebook,Spiral notebook,4.99,Stationery,5,24.950000000000003
1008,2025-07-09 14:53:58.994230,CUST002,Bob Smith,bob@email.com,456 Oak Ave,Los Angeles,CA,90001,PROD003,Notebook,Spiral notebook,4.99,Stationery,1,4.99
1009,2025-07-11 14:53:58.994235,CUST003,Carol White,carol@email.com,789 Pine Rd,Chicago,IL,60601,PROD003,Notebook,Spiral notebook,4.99,Stationery,4,19.96
1010,2025-07-12 14:53:58.994240,CUST001,Alice Johnson,alice@email.com,123 Main St,New York,NY,10001,PROD003,Notebook,Spiral notebook,4.99,Stationery,4,19.96
1011,2025-07-13 14:53:58.994245,CUST001,Alice Johnson,alice@email.com,123 Main St,New York,NY,10001,PROD004,Pen,Ballpoint pen pack,9.99,Stationery,2,19.98
1012,2025-07-15 14:53:58.994251,CUST003,Carol White,carol@email.com,789 Pine Rd,Chicago,IL,60601,PROD004,Pen,Ballpoint pen pack,9.99,Stationery,1,9.99
1013,2025-07-17 14:53:58.994256,CUST002,Bob Smith,bob@email.com,456 Oak Ave,Los Angeles,CA,90001,PROD004,Pen,Ballpoint pen pack,9.99,Stationery,4,39.96
1014,2025-07-25 14:53:58.994261,CUST003,Carol White,carol@email.com,789 Pine Rd,Chicago,IL,60601,PROD004,Pen,Ballpoint pen pack,9.99,Stationery,3,29.97
1015,2025-07-31 14:53:58.994266,CUST003,Carol White,carol@email.com,789 Pine Rd,Chicago,IL,60601,PROD002,Mouse,Wireless mouse,29.99,Electronics,5,149.95
1016,2025-07-09 14:53:58.994270,CUST003,Carol White,carol@email.com,789 Pine Rd,Chicago,IL,60601,PROD001,Laptop,High-performance laptop,999.99,Electronics,2,1999.98
1017,2025-07-16 14:53:58.994275,CUST001,Alice Johnson,alice@email.com,123 Main St,New York,NY,10001,PROD003,Notebook,Spiral notebook,4.99,Stationery,5,24.950000000000003
1018,2025-07-28 14:53:58.994280,CUST002,Bob Smith,bob@email.com,456 Oak Ave,Los Angeles,CA,90001,PROD001,Laptop,High-performance laptop,999.99,Electronics,4,3999.96
1019,2025-07-13 14:53:58.994285,CUST003,Carol White,carol@email.com,789 Pine Rd,Chicago,IL,60601,PROD004,Pen,Ballpoint pen pack,9.99,Stationery,5,49.95
